FECH; FOR.ACC ; ACTECA ; ACTECB ; ACTECC ; ACTECD ; ACTECE ; ACTECF ; ACTECG ; ACTECH ; ACTECI ; ACTECAJ ; ACTECAK ; ACTECL ; ACTECM ; ACTECN ; ACTECO ; ACTECZ ; TOT 
Julio_2020;CAÍDA DE PERSONAS A NIVEL; 1 ; 2 ; 2 ; 28 ; - ; 6 ; 10 ; 2 ; 22 ; 1 ; 24 ; 8 ; - ; 12 ; 7 ;; 125 
Julio_2020;CAÍDA DE PERSONAS AL AGUA; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; 1 ;;; 2 
Julio_2020;CHOQUE CONTRA OBJETO; 1 ; 2 ; - ; 13 ; - ; 1 ; 5 ; - ; 2 ; - ; 10 ; 1 ; - ; 4 ; 1 ;; 40 
Julio_2020;CHOQUE DE VEHÍCULOS; - ; - ; 1 ;; 1 ; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; 1 ;; 4 
Julio_2020;CONTACTO CON CALOR; - ; - ; 1 ; 2 ; - ; - ; - ; 1 ; - ; - ; 1 ; - ; - ; - ; - ;; 5 
Julio_2020;CONTACTO CON ELECTRICIDAD; - ; - ; - ; 1 ; - ; - ; 1 ; - ; 2 ; - ; - ; - ; - ; 1 ; - ;; 5 
Julio_2020;CONTACTO CON FUEGO; - ; - ; - ; 3 ; 1 ; - ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ;; 5 
Julio_2020;CONTACTO CON MATERIAS CALIENTES O INCANDESCENTES; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; 1 ; 1 ;; 4 
Julio_2020;CONTACTO CON PLAGUICIDAS; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;; 1 
Julio_2020;CONTACTO CON PRODUCTOS QUÍMICOS; - ; 1 ; 1 ; 11 ; - ; 1 ; 3 ; 1 ; 2 ; - ; 5 ; - ; - ; 2 ; 1 ;; 28 
Julio_2020;DERRUMBES O DESPLOMES DE INSTALACIONES; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; - ; - ;; 1 
Julio_2020;ESFUERZOS FISICOS O FALSOS MOVIMIENTOS; - ; 1 ; 3 ; 36 ; 3 ; 23 ; 18 ; 1 ; 21 ; - ; 26 ; 3 ; 1 ; 13 ; 10 ;; 159 
Julio_2020;EXPLOSIÓN O IMPLOSIÓN; - ; - ; - ; 7 ; - ; - ; 1 ; - ; 1 ; - ; - ; - ; - ; - ; - ;; 9 
Julio_2020;EXPOSICIÓN A PRODUCTOS QUÍMICOS; - ; - ; - ; 1 ; - ; - ; - ; - ; 1 ; - ; 1 ; - ; 1 ; - ; - ;; 4 
Julio_2020;EXPOSICIÓN AL CALOR; - ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ;; - ; - ; - ; - ;; 1 
Julio_2020;EXPOSICIÓN AL FRIO; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ;; 1 
Julio_2020;FALLA EN MECANISMOS PARA TRABAJOS HIPERBARICOS; - ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ;; 1 
Julio_2020;GOLPES POR OBJETOS (EXCEPTO CAÍDAS); - ; 1 ; 6 ; 30 ; - ; 14 ; 9 ; - ; 15 ; - ; 17 ; 22 ; 2 ; 4 ; 5 ;; 125 
Julio_2020;INCENDIO; - ; - ; - ; 1 ; - ; - ; - ; - ; 3 ; - ; - ; - ; - ; - ; - ;; 4 
Julio_2020;MORDEDURA DE ANIMALES; - ; - ; - ; - ; - ; - ; - ; 2 ; 2 ; - ; - ; 1 ; - ; 1 ; - ;; 6 
Julio_2020;PISADAS SOBRE OBJETO; - ; - ; - ; 1 ; - ; 2 ; 2 ; - ; - ; - ; 1 ; - ; - ; 2 ; 3 ;; 11 
Julio_2020;OTRAS FORMAS; 3 ; 1 ; 7 ; 96 ; - ; 14 ; 25 ; 5 ; 34 ; 1 ; 56 ; 12 ; 1 ; 85 ; 15 ;; 355 
Julio_2020; TOTAL ; 6 ; 8 ; 26 ; 279 ; 5 ; 76 ; 94 ; 14 ; 151 ; 2 ; 184 ; 61 ; 5 ; 136 ; 54 ;; 1,101 
Agosto_2020;AGRESION CON ARMAS; - ; - ; - ; - ; 1 ; - ; 1 ; - ; 1 ; - ; 1 ; 1 ; - ; - ; - ;; 5 
Agosto_2020;APRISIONAMIENTO O ATRAPAMIENTO; 2 ; - ; 4 ; 43 ; - ; 4 ; 14 ; - ; 9 ; - ; 10 ; 1 ; 1 ; 1 ; 7 ;; 96 
Agosto_2020;ATROPELLAMIENTO POR ANIMALES; - ; - ; - ; 1 ; - ; - ; 1 ; - ; 1 ; - ; - ; - ; - ; - ; - ;; 3 
Agosto_2020;ATROPELLAMIENTO POR VEHICULOS; - ; - ; 1 ; - ; - ; - ; 1 ; - ; 3 ; - ; - ; - ; - ; - ; - ;; 5 
Agosto_2020;CAIDA DE OBJETOS; 1 ; 1 ; 1 ; 31 ; - ; 23 ; 9 ; 1 ; 25 ; - ; 14 ; 12 ; 1 ; 1 ; 10 ;; 130 
Agosto_2020;CAIDA DE PERSONAL DE ALTURA; - ; - ; 3 ; 11 ; 1 ; 8 ; 8 ; - ; 19 ; - ; 18 ; 1 ; - ; 7 ; 6 ;; 82 
Agosto_2020;CAIDA DE PERSONAS A NIVEL; 4 ; - ; 4 ; 27 ; - ; 11 ; 15 ; 8 ; 23 ; 1 ; 41 ; 9 ; 1 ; 15 ; 9 ;; 168 
Agosto_2020;CAIDA DE PERSONAS AL AGUA; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; 1 ; - ; - ; - ;; 2 
Agosto_2020;CHOQUE CONTRA OBJETO; 2 ; - ; 2 ; 26 ; 1 ; 3 ; 3 ; 1 ; 8 ; - ; 13 ; 6 ; - ; 9 ; 3 ;; 77 
Agosto_2020;CHOQUE DE VEHICULOS; - ; - ; - ; - ; - ; - ; 1 ; 1 ; - ; - ; - ; 1 ; - ; - ; - ;; 3 
Agosto_2020;CONTACTO CON CALOR; - ; - ; - ; 4 ; - ; - ; 2 ; 2 ; - ; - ; 1 ; - ; - ; - ; - ;; 9 
Agosto_2020;CONTACTO CON ELECTRICIDAD; - ; - ; - ; 2 ; - ; 1 ; 1 ; - ; - ; - ; - ; - ; - ; - ; 1 ;; 5 
Agosto_2020;CONTACTO CON FRIO; - ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ;; 1 
Agosto_2020;CONTACTO CON FUEGO; - ; - ; - ; 2 ; - ; - ; - ; - ; 2 ; - ; - ; - ; - ; - ; - ;; 4 
Agosto_2020;CONTACTO CON MATERIAS CALIENTES O INCANDESCENTES; - ; - ; 2 ; 3 ; - ; 1 ; 1 ; 2 ; - ; - ; - ; - ; - ; - ; 2 ;; 11 
Agosto_2020;CONTACTO CON PRODUCTOS QUIMICOS; - ; - ; - ; 8 ; - ; - ; 1 ; 1 ; - ; - ; 6 ; - ; - ; - ; 2 ;; 18 
Agosto_2020;ESFUERZOS FISICOS O FALSOS MOVIMIENTOS; 3 ; 1 ; 1 ; 44 ; 1 ; 23 ; 33 ; 4 ; 28 ; - ; 38 ; 3 ; 1 ; 4 ; 13 ;; 197 
Agosto_2020;EXPOSICION A PRODUCTOS QUIMICOS; - ; - ; 3 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; 2 ;; 6 
Agosto_2020;EXPOSICION AL CALOR; - ; - ; - ; 1 ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; - ; - ;; 2 
Agosto_2020;GOLPES POR OBJETOS (EXCEPTO CAIDAS); 4 ; - ; 8 ; 28 ; - ; 15 ; 18 ; 3 ; 20 ; - ; 20 ; 2 ; - ; 2 ; 7 ;; 127 
Agosto_2020;MORDEDURA DE ANIMALES; - ; - ; - ; - ; - ; 1 ; 1 ; - ; 1 ; 1 ; - ; - ; - ; 4 ; 1 ;; 9 
Agosto_2020;PISADAS SOBRE OBJETO; - ; - ; 1 ; 6 ; - ; 8 ; 1 ; - ; 5 ; - ; 2 ; 1 ; - ; 1 ; 1 ;; 26 
Agosto_2020;OTRAS FORMAS; 5 ; - ; 16 ; 93 ; 1 ; 37 ; 45 ; 7 ; 30 ; - ; 61 ; 7 ; 2 ; 89 ; 30 ;; 423 
Agosto_2020; TOTAL ; 21 ; 2 ; 46 ; 330 ; 5 ; 135 ; 157 ; 31 ; 176 ; 2 ; 225 ; 45 ; 7 ; 133 ; 94 ;; 1,409 
Setiembre_2020;AGRESION CON ARMAS; - ; - ; - ; - ; 3 ; - ; - ; - ; - ; - ; 2 ; - ; - ; 1 ; - ;; 6 
Setiembre_2020;APRISIONAMIENTO O ATRAPAMIENTO; - ; 1 ; 10 ; 54 ; - ; 16 ; 14 ; 1 ; 14 ; - ; 21 ; 3 ; - ; 5 ; 6 ;; 145 
Setiembre_2020;ATROPELLAMIENTO POR ANIMALES; - ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ;; 1 
Setiembre_2020;ATROPELLAMIENTO POR VEHICULOS; - ; - ; - ; 2 ; - ; - ; 2 ; 1 ; 2 ; - ; 1 ; - ; 1 ; - ; 1 ;; 10 
Setiembre_2020;CAIDA DE OBJETOS; 5 ; 7 ; 1 ; 43 ; - ; 39 ; 30 ; 3 ; 22 ; - ; 38 ; 21 ; - ; 1 ; 5 ;; 215 
Setiembre_2020;CAIDA DE PERSONAL DE ALTURA; 1 ; 4 ; 2 ; 11 ; - ; 13 ; 9 ; 1 ; 15 ; 1 ; 18 ; - ; - ; 2 ; 4 ;; 81 
Setiembre_2020;CAIDA DE PERSONAS A NIVEL; 4 ; 1 ; 6 ; 36 ; 1 ; 32 ; 25 ; 8 ; 31 ; - ; 48 ; 18 ; - ; 37 ; 9 ;; 256 
Setiembre_2020;CAIDA DE PERSONAS AL AGUA; - ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ;; 1 
Setiembre_2020;CHOQUE CONTRA OBJETO; 1 ; 1 ; 5 ; 25 ; - ; 12 ; 16 ; 1 ; 14 ; - ; 19 ; 3 ; 1 ; 8 ; 3 ;; 109 
Setiembre_2020;CHOQUE DE VEHICULOS; - ; - ; - ; - ; - ; - ; 1 ; - ; 4 ; - ; 1 ; - ; - ; 1 ; - ;; 7 
Setiembre_2020;CONTACTO CON CALOR; - ; - ; - ; 2 ; - ; - ; 1 ; - ; 1 ; - ; 1 ; - ; - ; - ; 1 ;; 6 
Setiembre_2020;CONTACTO CON ELECTRICIDAD; - ; - ; - ; 4 ; 1 ; 2 ; 1 ; 1 ; 2 ; - ; 1 ; - ; - ; - ; 1 ;; 13 
Setiembre_2020;CONTACTO CON FUEGO; - ; - ; - ; 1 ; - ; - ; - ; 1 ; 1 ; - ; 1 ; - ; - ; - ; - ;; 4 
Setiembre_2020;CONTACTO CON MATERIAS CALIENTES O INCANDESCENTES; - ; - ; - ; 6 ; - ; 1 ; 1 ; 1 ; - ; - ; - ; - ; - ; - ; - ;; 9 
Setiembre_2020;CONTACTO CON PLAGUICIDAS; - ; - ; - ; 1 ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; - ; - ;; 2 
Setiembre_2020;CONTACTO CON PRODUCTOS QUIMICOS; - ; - ; 2 ; 14 ; - ; - ; 3 ; 3 ; 2 ; - ; 6 ; - ; - ; - ; 7 ;; 37 
Setiembre_2020;DERRUMBES O DESPLOMES DE INSTALACIONES; - ; - ; - ; - ; - ; 1 ; - ; - ; 2 ; - ; - ; - ; - ; - ; 1 ;; 4 
Setiembre_2020;ESFUERZOS FISICOS O FALSOS MOVIMIENTOS; 2 ; - ; 2 ; 59 ; 2 ; 36 ; 42 ; 3 ; 42 ; 1 ; 57 ; 8 ; - ; 12 ; 22 ;; 288 
Setiembre_2020;EXPLOSION O IMPLOSION; - ; - ; - ; 1 ; 1 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;; 2 
Setiembre_2020;EXPOSICION A PRODUCTOS QUIMICOS; - ; - ; 6 ; 3 ; - ; 3 ; 1 ; - ; - ; - ; 4 ; - ; - ; - ; - ;; 17 
Setiembre_2020;EXPOSICION AL CALOR; - ; - ; - ; 1 ; - ; 1 ; 1 ; - ; - ; - ; - ; - ; - ; - ; - ;; 3 
Setiembre_2020;FALLA EN MECANISMOS PARA TRABAJOS HIPERBARICOS; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 2 ; - ; - ; - ; - ;; 2 
Setiembre_2020;GOLPES POR OBJETOS (EXCEPTO CAIDAS); 5 ; 9 ; 16 ; 63 ; 2 ; 24 ; 26 ; 4 ; 32 ; - ; 45 ; 24 ; - ; 6 ; 9 ;; 265 
Setiembre_2020;MORDEDURA DE ANIMALES; - ; - ; 1 ; 4 ; - ; 1 ; - ; 1 ; 4 ; 1 ; 8 ; 1 ; - ; 1 ; 1 ;; 23 
Setiembre_2020;PISADAS SOBRE OBJETO; - ; - ; 1 ; 6 ; - ; 6 ; 1 ; - ; 7 ; - ; 7 ; 4 ; - ; 2 ;;; 34 
Setiembre_2020;OTRAS FORMAS; 8 ; 2 ; 22 ; 227 ; 2 ; 59 ; 97 ; 10 ; 96 ; 2 ; 126 ; 17 ; - ; 135 ; 52 ;; 855 
Setiembre_2020; TOTAL ; 26 ; 25 ; 74 ; 563 ; 12 ; 246 ; 272 ; 39 ; 293 ; 5 ; 406 ; 99 ; 2 ; 211 ; 122 ;; 2,395 
Octubre_2020;AGRESION CON ARMAS;;; 3 ;;;;;;;; 5 ; 6 ;;;;; 14 
Octubre_2020;APRISIONAMIENTO O ATRAPAMIENTO; 2 ;; 9 ; 64 ;; 10 ; 24 ; 3 ; 10 ;; 15 ; 1 ; 1 ; 2 ; 9 ;; 150 
Octubre_2020;ATROPELLAMIENTO POR ANIMALES;;;;;;; 1 ;;;;;;;; 1 ;; 2 
Octubre_2020;ATROPELLAMIENTO POR VEHICULOS;;;; 1 ;;; 1 ;; 3 ; 1 ; 1 ; 8 ;;; 2 ;; 17 
Octubre_2020;CAIDA DE OBJETOS; 1 ;; 1 ; 63 ; 2 ; 38 ; 41 ; 2 ; 20 ;; 46 ; 7 ;; 1 ; 17 ;; 239 
Octubre_2020;CAIDA DE PERSONAL DE ALTURA;; 1 ; 6 ; 20 ;; 19 ; 11 ; 6 ; 16 ;; 23 ; 3 ; 1 ; 4 ; 6 ;; 116 
Octubre_2020;CAIDA DE PERSONAS A NIVEL;; 4 ; 4 ; 53 ;; 31 ; 29 ; 6 ; 30 ;; 71 ; 23 ; 1 ; 17 ; 21 ;; 290 
Octubre_2020;CAIDA DE PERSONAS AL AGUA;;;;;;;;; 1 ;; 1 ;;;;;; 2 
Octubre_2020;CHOQUE CONTRA OBJETO; 4 ; 1 ; 1 ; 22 ;; 11 ; 13 ;; 9 ;; 15 ; 2 ;; 4 ; 2 ;; 84 
Octubre_2020;CHOQUE DE VEHICULOS;;; 2 ;;;;;; 1 ;;;;;;;; 3 
Octubre_2020;CONTACTO CON CALOR;;; 1 ; 1 ;;; 1 ;; 1 ;;;;;;;; 4 
Octubre_2020;CONTACTO CON ELECTRICIDAD; 1 ;;; 2 ;; 2 ;;;;; 1 ;;;; 1 ;; 7 
Octubre_2020;CONTACTO CON FUEGO;;;; 1 ;;;;;;; 1 ; 1 ;;;;; 3 
Octubre_2020;CONTACTO CON MATERIAS CALIENTES O INCANDESCENTES;;; 1 ; 7 ;; 1 ; 1 ; 4 ;;; 1 ;; 2 ;; 1 ;; 18 
Octubre_2020;CONTACTO CON PRODUCTOS QUIMICOS;;; 8 ; 3 ;; 3 ; 5 ;; 2 ; 1 ; 8 ;;;;;; 30 
Octubre_2020;DERRUMBES O DESPLOMES DE INSTALACIONES;;;; 3 ;; 4 ;;;;; 1 ;;;; 2 ;; 10 
Octubre_2020;ESFUERZOS FISICOS O FALSOS MOVIMIENTOS; 6 ; 1 ; 5 ; 90 ;; 40 ; 37 ; 1 ; 42 ; 2 ; 57 ; 25 ;; 14 ; 25 ;; 345 
Octubre_2020;EXPLOSION O IMPLOSION;;;; 7 ;; 1 ;; 1 ; 1 ;; 2 ;;;;;; 12 
Octubre_2020;EXPOSICION A PRODUCTOS QUIMICOS;; 1 ;; 3 ;; 1 ;;; 1 ;; 5 ;;;;;; 11 
Octubre_2020;EXPOSICION A RADIACIONES NO IONIZANTES;;;;;; 1 ;;;;;;;;;;; 1 
Octubre_2020;EXPOSICION AL CALOR;;;;;; 1 ;;;;; 1 ;;;;;; 2 
Octubre_2020;GOLPES POR OBJETOS (EXCEPTO CAIDAS); 1 ;; 22 ; 54 ; 2 ; 40 ; 29 ; 3 ; 27 ;; 48 ; 20 ;; 8 ; 18 ;; 272 
Octubre_2020;INCENDIO;;;;;;;;;;; 2 ;;;;;; 2 
Octubre_2020;MORDEDURA DE ANIMALES;;;; 1 ; 1 ;;;; 1 ;; 1 ; 9 ;;; 1 ;; 14 
Octubre_2020;PISADAS SOBRE OBJETO;;; 5 ; 1 ;; 3 ; 2 ;; 3 ;; 3 ; 1 ;; 1 ; 3 ;; 22 
Octubre_2020;OTRAS FORMAS; 7 ; 9 ; 40 ; 350 ; 3 ; 103 ; 162 ; 11 ; 145 ; 2 ; 207 ; 49 ; 1 ; 42 ; 55 ;; 1,186 
Octubre_2020; TOTAL ; 22 ; 17 ; 108 ; 746 ; 8 ; 309 ; 357 ; 37 ; 313 ; 6 ; 515 ; 155 ; 6 ; 93 ; 164 ;; 2,856 
Noviembre_2020;AGRESION CON ARMAS; - ; - ; - ; - ; - ; - ; 2 ; - ; - ; - ; 2 ; 3 ; - ; - ; 2 ;; 9 
Noviembre_2020;APRISIONAMIENTO O ATRAPAMIENTO; - ; 1 ; 11 ; 49 ; - ; 12 ; 29 ; 3 ; 18 ; 1 ; 33 ; 1 ; - ; 6 ; 4 ;; 168 
Noviembre_2020;ATROPELLAMIENTO POR VEHICULOS; - ; - ; - ; 1 ; - ; - ; 1 ; - ; 1 ; - ; 6 ; 1 ; - ; - ; 1 ;; 11 
Noviembre_2020;CAIDA DE OBJETOS; 3 ; 1 ; 5 ; 60 ; - ; 45 ; 16 ; 1 ; 13 ; - ; 40 ; 10 ; - ; 2 ; 12 ;; 208 
Noviembre_2020;CAIDA DE PERSONAL DE ALTURA; - ; 1 ; 2 ; 8 ; - ; 24 ; 5 ; 1 ; 18 ; - ; 25 ; 9 ; - ; 3 ; 8 ;; 104 
Noviembre_2020;CAIDA DE PERSONAS A NIVEL; 3 ; 1 ; 5 ; 47 ; 1 ; 32 ; 22 ; 10 ; 33 ; 1 ; 58 ; 32 ; - ; 11 ; 19 ;; 275 
Noviembre_2020;CHOQUE CONTRA OBJETO; - ; - ; - ; 39 ; - ; 9 ; 18 ; 1 ; 15 ; - ; 28 ; 7 ; - ; 2 ; 5 ;; 124 
Noviembre_2020;CHOQUE DE VEHICULOS; - ; - ; 2 ; - ; - ; - ; 1 ; - ; 1 ; - ; - ; - ; - ; - ; - ;; 4 
Noviembre_2020;CONTACTO CON CALOR; - ; - ; 1 ; 6 ; - ; - ; - ; 1 ; - ; - ; 1 ; - ; - ; - ; - ;; 9 
Noviembre_2020;CONTACTO CON ELECTRICIDAD; - ; - ; - ; 1 ; - ; 1 ; - ; 1 ; - ; - ; 2 ; - ; - ; - ; - ;; 5 
Noviembre_2020;CONTACTO CON FUEGO; - ; - ; - ; 4 ; - ; 1 ; 2 ; 1 ; - ; - ; - ; - ; - ; - ; 1 ;; 9 
Noviembre_2020;CONTACTO CON MATERIAS CALIENTES O INCANDESCENTES; - ; - ; 1 ; 5 ; - ; - ; 2 ; 5 ; - ; - ; 4 ; - ; - ; - ; - ;; 17 
Noviembre_2020;CONTACTO CON PRODUCTOS QUIMICOS; 1 ; - ; 1 ; 15 ; - ; 5 ; 1 ; 1 ; 4 ; - ; 10 ; 1 ; - ; 2 ; 1 ;; 42 
Noviembre_2020;DERRUMBES O DESPLOMES DE INSTALACIONES; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;; 1 
Noviembre_2020;ESFUERZOS FISICOS O FALSOS MOVIMIENTOS; 5 ; - ; 6 ; 83 ; 1 ; 46 ; 44 ; 4 ; 51 ; - ; 46 ; 23 ; - ; 9 ; 22 ;; 340 
Noviembre_2020;EXPLOSION O IMPLOSION; - ; - ; - ; 3 ; - ; - ; - ; - ; 3 ; - ; - ; - ; - ; - ; 1 ;; 7 
Noviembre_2020;EXPOSICION A PRODUCTOS QUIMICOS; - ; - ; - ; 3 ; - ; 1 ; 1 ; - ; - ; - ; 4 ; 1 ; - ; - ; 2 ;; 12 
Noviembre_2020;EXPOSICION A RADIACIONES IONIZANTES; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;; 1 
Noviembre_2020;EXPOSICION A RADIACIONES NO IONIZANTES; - ; - ; - ; 1 ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ;; 2 
Noviembre_2020;EXPOSICION AL CALOR; - ; - ; - ; 1 ; - ; 1 ; - ; 1 ; - ; - ; - ; - ; - ; - ; - ;; 3 
Noviembre_2020;GOLPES POR OBJETOS (EXCEPTO CAIDAS); 3 ; - ; 13 ; 82 ; 1 ; 56 ; 38 ; 3 ; 39 ; 1 ; 67 ; 40 ; - ; 4 ; 19 ;; 366 
Noviembre_2020;MORDEDURA DE ANIMALES; 1 ; - ; - ; - ; 1 ; 1 ; - ; - ; 5 ; - ; 3 ; 3 ; - ; - ; - ;; 14 
Noviembre_2020;PISADAS SOBRE OBJETO; - ; - ; 2 ; 3 ; - ; 8 ; 3 ; - ; 3 ; - ; 3 ; 1 ; - ; - ; 2 ;; 25 
Noviembre_2020;OTRAS FORMAS; 12 ; 2 ; 16 ; 238 ; 1 ; 120 ; 114 ; 11 ; 96 ; 3 ; 163 ; 36 ; 3 ; 33 ; 50 ;; 898 
Noviembre_2020; TOTAL ; 28 ; 6 ; 65 ; 651 ; 5 ; 362 ; 299 ; 44 ; 301 ; 6 ; 495 ; 168 ; 3 ; 72 ; 149 ;; 2,654 
Diciembre_2020;AGRESION CON ARMAS; - ; - ; - ; 1 ; - ; - ; - ; - ; 3 ; - ; 1 ; 6 ; - ; - ; 1 ;; 12 
Diciembre_2020;APRISIONAMIENTO O ATRAPAMIENTO; 2 ; 2 ; 8 ; 35 ; - ; 14 ; 23 ; 1 ; 13 ; - ; 18 ; - ; 1 ; 5 ; 7 ;; 129 
Diciembre_2020;ATROPELLAMIENTO POR VEHICULOS; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; 2 ; 4 ; - ; - ; - ;; 7 
Diciembre_2020;CAIDA DE OBJETOS; 3 ; - ; 6 ; 42 ; - ; 45 ; 23 ; 3 ; 21 ; 1 ; 27 ; 8 ; 1 ; 2 ; 8 ;; 190 
Diciembre_2020;CAIDA DE PERSONAL DE ALTURA; 1 ; 1 ; 5 ; 17 ; - ; 17 ; 10 ; - ; 14 ; - ; 22 ; 9 ; 1 ; 6 ; 10 ;; 113 
Diciembre_2020;CAIDA DE PERSONAS A NIVEL; 2 ; 3 ; 8 ; 35 ; 1 ; 28 ; 20 ; 11 ; 26 ; 1 ; 44 ; 19 ; 4 ; 20 ; 10 ;; 232 
Diciembre_2020;CAIDA DE PERSONAS AL AGUA; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ;; 1 
Diciembre_2020;CHOQUE CONTRA OBJETO; 2 ; 3 ; 6 ; 18 ; - ; 11 ; 4 ; 3 ; 10 ; - ; 17 ; 6 ; - ; 1 ; 4 ;; 85 
Diciembre_2020;CHOQUE DE VEHICULOS; - ; - ; - ; - ; - ; - ; - ; - ; 2 ; - ; 1 ; - ; - ; - ; 1 ;; 4 
Diciembre_2020;CONTACTO CON CALOR; - ; - ; 2 ; 2 ; - ; - ; 1 ; 2 ; 1 ; - ; 3 ; - ; - ; - ; - ;; 11 
Diciembre_2020;CONTACTO CON ELECTRICIDAD; - ; - ; 1 ; 4 ; - ; 2 ; 2 ; - ; - ; - ; 2 ; - ; - ; 1 ; 1 ;; 13 
Diciembre_2020;CONTACTO CON FRIO; - ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ;; 1 
Diciembre_2020;CONTACTO CON FUEGO; - ; - ; - ; 2 ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ;; 3 
Diciembre_2020;CONTACTO CON MATERIAS CALIENTES O INCANDESCENTES; - ; - ; - ; 4 ; - ; - ; - ; 5 ; 2 ; - ; 1 ; - ; 1 ; 3 ; 3 ;; 19 
Diciembre_2020;CONTACTO CON PRODUCTOS QUIMICOS; - ; - ; 4 ; 8 ; - ; 4 ; 4 ; 2 ; 2 ; - ; 9 ; 1 ; 1 ; - ; 2 ;; 37 
Diciembre_2020;DERRUMBES O DESPLOMES DE INSTALACIONES; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; - ; - ; 1 ;; 2 
Diciembre_2020;ESFUERZOS FISICOS O FALSOS MOVIMIENTOS; 2 ; 1 ; 6 ; 55 ; - ; 37 ; 31 ; 6 ; 21 ; - ; 39 ; 15 ; - ; 5 ; 11 ;; 229 
Diciembre_2020;EXPLOSION O IMPLOSION; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; 2 ;; 4 
Diciembre_2020;EXPOSICION A PRODUCTOS QUIMICOS; - ; - ; 2 ; - ; - ; 1 ; - ; - ; - ; - ; 3 ; 1 ; - ; - ; - ;; 7 
Diciembre_2020;EXPOSICION AL CALOR; - ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; 1 ;; 2 
Diciembre_2020;FALLA EN MECANISMOS PARA TRABAJOS HIPERBARICOS; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ;; 1 
Diciembre_2020;GOLPES POR OBJETOS (EXCEPTO CAIDAS); 2 ; 1 ; 16 ; 55 ; 1 ; 34 ; 26 ; 4 ; 39 ; - ; 38 ; 24 ; - ; 3 ; 6 ;; 249 
Diciembre_2020;MORDEDURA DE ANIMALES; - ; - ; - ; - ; - ; 1 ; 1 ; - ; 2 ; - ; 1 ; 1 ; - ; 2 ; 1 ;; 9 
Diciembre_2020;PISADAS SOBRE OBJETO; - ; - ; 3 ; 5 ; 1 ; 9 ; 3 ; - ; 5 ; - ; 4 ; - ; - ; - ; 2 ;; 32 
Diciembre_2020;OTRAS FORMAS; 7 ; 5 ; 22 ; 200 ; 1 ; 96 ; 76 ; 27 ; 98 ; 2 ; 124 ; 44 ; 3 ; 53 ; 43 ;; 801 
Diciembre_2020; TOTAL ; 21 ; 16 ; 89 ; 484 ; 4 ; 300 ; 225 ; 64 ; 261 ; 4 ; 360 ; 138 ; 12 ; 101 ; 114 ;; 2,193 
Enero_2021;AGRESION CON ARMAS;;;;; 1 ; 1 ;;; 2 ; 1 ; 1 ; 1 ;;;;; 7 
Enero_2021;APRISIONAMIENTO O ATRAPAMIENTO; 2 ;; 9 ; 35 ; 1 ; 25 ; 14 ;; 7 ; 2 ; 22 ; 3 ;; 3 ; 7 ;; 130 
Enero_2021;ATROPELLAMIENTO POR ANIMALES;;;;;;;;;;; 1 ;;;;;; 1 
Enero_2021;ATROPELLAMIENTO POR VEHICULOS;;; 1 ; 1 ;; 1 ;;;;; 1 ; 1 ;;;;; 5 
